BSE_SYMBOL,NSE_SYMBOL,COMPANY_NAME,ISIN
MANCREDIT,MANCREDIT,Mangal Credit and Fincorp Limited,INE545L01039
MANGALAM,MANGALAM,Mangalam Drugs And Organics Limited,INE584F01014
MANGCHEFER,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,INE558B01017
MANGLMCEM,MANGLMCEM,Mangalam Cement Limited,INE347A01017
MANINDS,MANINDS,Man Industries (India) Limited,INE993A01026
MANINFRA,MANINFRA,Man Infraconstruction Limited,INE949H01023
MANKIND,MANKIND,Mankind Pharma Limited,INE634S01028
MANOMAY,MANOMAY,Manomay Tex India Limited,INE784W01015
MANORAMA,MANORAMA,Manorama Industries Limited,INE00VM01036
MANORG,MANORG,Mangalam Organics Limited,INE370D01013
MANUGRAPH,MANUGRAPH,Manugraph India Limited,INE867A01022
MANYAVAR,MANYAVAR,Vedant Fashions Limited,INE825V01034
MAPMYINDIA,MAPMYINDIA,C.E. Info Systems Limited,INE0BV301023
MARALOVER,MARALOVER,Maral Overseas Limited,INE882A01013
MARATHON,MARATHON,Marathon Nextgen Realty Limited,INE182D01020
MARICO,MARICO,Marico Limited,INE196A01026
 ,MARINE,Marine Electricals (India) Limited,INE01JE01028
MARKSANS,MARKSANS,Marksans Pharma Limited,INE750C01026
MARUTI,MARUTI,Maruti Suzuki India Limited,INE585B01010
MASFIN,MASFIN,MAS Financial Services Limited,INE348L01012
 ,MASKINVEST,Mask Investments Limited,INE885F01015
MASTEK,MASTEK,Mastek Limited,INE759A01021
MASTERTR,MASTERTR,Master Trust Limited,INE677D01037
MATRIMONY,MATRIMONY,Matrimony.Com Limited,INE866R01028
MAWANASUG,MAWANASUG,Mawana Sugars Limited,INE636A01039
MAXESTATES,MAXESTATES,Max Estates Limited,INE03EI01018
MAXHEALTH,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010
MAXIND,MAXIND,Max India Limited,INE0CG601016
MAYURUNIQ,MAYURUNIQ,Mayur Uniquoters Ltd,INE040D01038
MAZDA,MAZDA,Mazda Limited,INE885E01042
MAZDOCK,MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01020
 ,MBAPL,Madhya Bharat Agro Products Limited,INE900L01010
MBEL,MBEL,M & B Engineering Limited,INE08N601015
MBLINFRA,MBLINFRA,MBL Infrastructure Limited,INE912H01013
 ,MCL,Madhav Copper Limited,INE813V01022
MCLEODRUSS,MCLEODRUSS,Mcleod Russel India Limited,INE942G01012
MCLOUD,MCLOUD,Magellanic Cloud Limited,INE613C01026
MCX,MCX,Multi Commodity Exchange of India Limited,INE745G01035
MEDANTA,MEDANTA,Global Health Limited,INE474Q01031
MEDIASSIST,MEDIASSIST,Medi Assist Healthcare Services Limited,INE456Z01021
MEDICAMEQ,MEDICAMEQ,Medicamen Biotech Limited,INE646B01010
MEDICO,MEDICO,Medico Remedies Limited,INE630Y01024
MEDPLUS,MEDPLUS,Medplus Health Services Limited,INE804L01022
MEGASOFT,MEGASOFT,Megasoft Limited,INE933B01012
MEGASTAR,MEGASTAR,Megastar Foods Limited,INE00EM01016
MENONBE,MENONBE,Menon Bearings Limited,INE071D01033
MEP,MEP,MEP Infrastructure Developers Limited,INE776I01010
METROBRAND,METROBRAND,Metro Brands Limited,INE317I01021
METROPOLIS,METROPOLIS,Metropolis Healthcare Limited,INE112L01020
MFML,MFML,Mahalaxmi Fabric Mills Limited,INE0US801024
MFSL,MFSL,Max Financial Services Limited,INE180A01020
MGEL,MGEL,Mangalam Global Enterprise Limited,INE0APB01032
MGL,MGL,Mahanagar Gas Limited,INE002S01010
MHLXMIRU,MHLXMIRU,Mahalaxmi Rubtech Limited,INE112D01035
MHRIL,MHRIL,Mahindra Holidays & Resorts India Limited,INE998I01010
MICEL,MICEL,MIC Electronics Limited,INE287C01037
MIDHANI,MIDHANI,Mishra Dhatu Nigam Limited,INE099Z01011
MINDACORP,MINDACORP,Minda Corporation Limited,INE842C01021
MINDTECK,MINDTECK,Mindteck (India) Limited,INE110B01017
MIRCELECTR,MIRCELECTR,MIRC Electronics Limited,INE831A01028
MIRZAINT,MIRZAINT,Mirza International Limited,INE771A01026
 ,MITCON,MITCON Consultancy & Engineering Services Limited,INE828O01033
 ,MITTAL,Mittal Life Style Limited,INE997Y01027
MKPL,MKPL,M K Proteins Limited,INE964W01021
MMFL,MMFL,MM Forgings Limited,INE227C01017
 ,MMP,MMP Industries Limited,INE511Y01018
MMTC,MMTC,MMTC Limited,INE123F01029
MOBIKWIK,MOBIKWIK,One Mobikwik Systems Limited,INE0HLU01028
MODIRUBBER,MODIRUBBER,Modi Rubber Limited,INE832A01018
MODISONLTD,MODISONLTD,MODISON LIMITED,INE737D01021
MODTHREAD,MODTHREAD,Modern Threads (India) Limited,INE794W01014
MOHITIND,MOHITIND,Mohit Industries Limited,INE954E01012
MOIL,MOIL,MOIL Limited,INE490G01020
 ,MOKSH,Moksh Ornaments Limited,INE514Y01020
MOL,MOL,Meghmani Organics Limited,INE0CT101020
MOLDTECH,MOLDTECH,Mold-Tek Technologies Limited,INE835B01035
MOLDTKPAC,MOLDTKPAC,Mold-Tek Packaging Limited,INE893J01029
MONARCH,MONARCH,Monarch Networth Capital Limited,INE903D01011
MONTECARLO,MONTECARLO,Monte Carlo Fashions Limited,INE950M01013
MORARJEE,MORARJEE,Morarjee Textiles Limited,INE161G01027
MOREPENLAB,MOREPENLAB,Morepen Laboratories Limited,INE083A01026
MOSCHIP,MOSCHIP,Moschip Technologies Limited,INE935B01025
MOTHERSON,MOTHERSON,Samvardhana Motherson International Limited,INE775A01035
MOTILALOFS,MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027
MOTISONS,MOTISONS,Motisons Jewellers Limited,INE0FRK01020
MOTOGENFIN,MOTOGENFIN,The Motor & General Finance Limited,INE861B01023
MPHASIS,MPHASIS,MphasiS Limited,INE356A01018
MPSLTD,MPSLTD,MPS Limited,INE943D01017
MRF,MRF,MRF Limited,INE883A01011
MRPL,MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014
MSPL,MSPL,MSP Steel & Power Limited,INE752G01015
MSTCLTD,MSTCLTD,Mstc Limited,INE255X01014
MSUMI,MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015
MTARTECH,MTARTECH,Mtar Technologies Limited,INE864I01014
MTEDUCARE,MTEDUCARE,MT Educare Limited,INE472M01018
MTNL,MTNL,Mahanagar Telephone Nigam Limited,INE153A01019
MUFIN,MUFIN,Mufin Green Finance Limited,INE08KJ01020
MUFTI,MUFTI,Credo Brands Marketing Limited,INE220Q01020
MUKANDLTD,MUKANDLTD,Mukand Limited,INE304A01026
MUKKA,MUKKA,Mukka Proteins Limited,INE0CG401037
MUKTAARTS,MUKTAARTS,Mukta Arts Limited,INE374B01019
MUNJALAU,MUNJALAU,Munjal Auto Industries Limited,INE672B01032
MUNJALSHOW,MUNJALSHOW,Munjal Showa Limited,INE577A01027
MURUDCERA,MURUDCERA,Murudeshwar Ceramics Limited,INE692B01014
MUTHOOTCAP,MUTHOOTCAP,Muthoot Capital Services Limited,INE296G01013
MUTHOOTFIN,MUTHOOTFIN,Muthoot Finance Limited,INE414G01012
MUTHOOTMF,MUTHOOTMF,Muthoot Microfin Limited,INE046W01019
MVGJL,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,INE0KNT01012
NACLIND,NACLIND,NACL Industries Limited,INE295D01020
NAGAFERT,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,INE454M01024
NAGREEKCAP,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,INE245I01016
NAGREEKEXP,NAGREEKEXP,Nagreeka Exports Limited,INE123B01028
NAHARCAP,NAHARCAP,Nahar Capital and Financial Services Limited,INE049I01012
NAHARINDUS,NAHARINDUS,Nahar Industrial Enterprises Limited,INE289A01011
NAHARPOLY,NAHARPOLY,Nahar Poly Films Limited,INE308A01027
NAHARSPING,NAHARSPING,Nahar Spinning Mills Limited,INE290A01027
NAM-INDIA,NAM-INDIA,Nippon Life India Asset Management Limited,INE298J01013
NARMADA,NARMADA,Narmada Agrobase Limited,INE117Z01011
NATCAPSUQ,NATCAPSUQ,Natural Capsules Limited,INE936B01015
NATCOPHARM,NATCOPHARM,Natco Pharma Limited,INE987B01026
NATHBIOGEN,NATHBIOGEN,Nath Bio-Genes (India) Limited,INE448G01010
NATIONALUM,NATIONALUM,National Aluminium Company Limited,INE139A01034
NAUKRI,NAUKRI,Info Edge (India) Limited,INE663F01032
NAVA,NAVA,NAVA LIMITED,INE725A01030
NAVINFLUOR,NAVINFLUOR,Navin Fluorine International Limited,INE048G01026
NAVKARCORP,NAVKARCORP,Navkar Corporation Limited,INE278M01019
NAVKARURB,NAVKARURB,Navkar Urbanstructure Limited,INE268H01044
NAVNETEDUL,NAVNETEDUL,Navneet Education Limited,INE060A01024
NAZARA,NAZARA,Nazara Technologies Limited,INE418L01021
NBCC,NBCC,NBCC (India) Limited,INE095N01031
 ,NBIFIN,N. B. I. Industrial Finance Company Limited,INE365I01020
NCC,NCC,NCC Limited,INE868B01028
NCLIND,NCLIND,NCL Industries Limited,INE732C01016
 ,NDGL,Naga Dhunseri Group Limited,INE756C01015
NDL,NDL,Nandan Denim Limited,INE875G01048
NDLVENTURE,NDLVENTURE,NDL Ventures Limited,INE353A01023
NDRAUTO,NDRAUTO,Ndr Auto Components Limited,INE07OG01012
NDTV,NDTV,New Delhi Television Limited,INE155G01029
NECCLTD,NECCLTD,North Eastern Carrying Corporation Limited,INE553C01016
NECLIFE,NECLIFE,Nectar Lifesciences Limited,INE023H01027
NELCAST,NELCAST,Nelcast Limited,INE189I01024
NELCO,NELCO,NELCO Limited,INE045B01015
NEOGEN,NEOGEN,Neogen Chemicals Limited,INE136S01016
NESCO,NESCO,Nesco Limited,INE317F01035
NESTLEIND,NESTLEIND,Nestle India Limited,INE239A01024
NETWEB,NETWEB,Netweb Technologies India Limited,INE0NT901020
NETWORK18,NETWORK18,Network18 Media & Investments Limited,INE870H01013
NEULANDLAB,NEULANDLAB,Neuland Laboratories Limited,INE794A01010
NEWGEN,NEWGEN,Newgen Software Technologies Limited,INE619B01017
NEXTMEDIA,NEXTMEDIA,Next Mediaworks Limited,INE747B01016
NFL,NFL,National Fertilizers Limited,INE870D01012
NGIL,NGIL,Nakoda Group of Industries Limited,INE236Y01012
NGLFINE,NGLFINE,NGL Fine-Chem Limited,INE887E01022
NH,NH,Narayana Hrudayalaya Ltd.,INE410P01011
NHPC,NHPC,NHPC Limited,INE848E01016
NIACL,NIACL,The New India Assurance Company Limited,INE470Y01017
NIBE,NIBE,NIBE Limited,INE149O01018
NIBL,NIBL,NRB Industrial Bearings Limited,INE047O01014
NIITLTD,NIITLTD,NIIT Limited,INE161A01038
NIITMTS,NIITMTS,NIIT Learning Systems Limited,INE342G01023
NILAINFRA,NILAINFRA,Nila Infrastructures Limited,INE937C01029
NILASPACES,NILASPACES,Nila Spaces Limited,INE00S901012
NILKAMAL,NILKAMAL,Nilkamal Limited,INE310A01015
NINSYS,NINSYS,NINtec Systems Limited,INE395U01014
NIPPOBATRY,NIPPOBATRY,Indo-National Limited,INE567A01028
NIRAJ,NIRAJ,Niraj Cement Structurals Limited,INE368I01016
 ,NIRAJISPAT,Niraj Ispat Industries Limited,INE326T01011
NITCO,NITCO,Nitco Limited,INE858F01012
NITINSPIN,NITINSPIN,Nitin Spinners Limited,INE229H01012
 ,NITIRAJ,Nitiraj Engineers Limited,INE439T01012
NIVABUPA,NIVABUPA,Niva Bupa Health Insurance Company Limited,INE995S01015
NKIND,NKIND,NK Industries Limited,INE542C01019
NLCINDIA,NLCINDIA,NLC India Limited,INE589A01014
NMDC,NMDC,NMDC Limited,INE584A01023
NOCIL,NOCIL,NOCIL Limited,INE163A01018
NOIDATOLL,NOIDATOLL,Noida Toll Bridge Company Limited,INE781B01015
NORBTEAEXP,NORBTEAEXP,Norben Tea & Exports Limited,INE369C01017
NORTHARC,NORTHARC,Northern Arc Capital Limited,INE850M01015
NOVAAGRI,NOVAAGRI,Nova Agritech Limited,INE02H701025
NPST,NPST,Network People Services Technologies Limited,INE0FFK01017
NRAIL,NRAIL,N R Agarwal Industries Limited,INE740D01017
NRBBEARING,NRBBEARING,NRB Bearing Limited,INE349A01021
 ,NRL,Nupur Recyclers Limited,INE0JM501013
NSIL,NSIL,Nalwa Sons Investments Limited,INE023A01030
NSLNISP,NSLNISP,NMDC Steel Limited,INE0NNS01018
NTPC,NTPC,NTPC Limited,INE733E01010
NTPCGREEN,NTPCGREEN,NTPC Green Energy Limited,INE0ONG01011
NUCLEUS,NUCLEUS,Nucleus Software Exports Limited,INE096B01018
NURECA,NURECA,Nureca Limited,INE0DSF01015
NUVAMA,NUVAMA,Nuvama Wealth Management Limited,INE531F01015
NUVOCO,NUVOCO,Nuvoco Vistas Corporation Limited,INE118D01016
NYKAA,NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029
OAL,OAL,Oriental Aromatics Limited,INE959C01023
OBCL,OBCL,Orissa Bengal Carrier Limited,INE426Z01016
OBEROIRLTY,OBEROIRLTY,Oberoi Realty Limited,INE093I01010
OCCLLTD,OCCLLTD,OCCL Limited,INE0PK601023
ODIGMA,ODIGMA,Odigma Consultancy Solutions Limited,INE054301028
OFSS,OFSS,Oracle Financial Services Software Limited,INE881D01027
OIL,OIL,Oil India Limited,INE274J01014
OILCOUNTUB,OILCOUNTUB,Oil Country Tubular Limited,INE591A01010
OLAELEC,OLAELEC,Ola Electric Mobility Limited,INE0LXG01040
OLECTRA,OLECTRA,Olectra Greentech Limited,INE260D01016
OMAXAUTO,OMAXAUTO,Omax Autos Limited,INE090B01011
OMAXE,OMAXE,Omaxe Limited,INE800H01010
OMINFRAL,OMINFRAL,OM INFRA LIMITED,INE239D01028
OMKARCHEM,OMKARCHEM,Omkar Speciality Chemicals Limited,INE474L01016
ONELIFECAP,ONELIFECAP,Onelife Capital Advisors Limited,INE912L01015
 ,ONEPOINT,One Point One Solutions Limited,INE840Y01029
ONESOURCE,ONESOURCE,Onesource Specialty Pharma Limited,INE013P01021
ONGC,ONGC,Oil & Natural Gas Corporation Limited,INE213A01029
ONMOBILE,ONMOBILE,OnMobile Global Limited,INE809I01019
ONWARDTEC,ONWARDTEC,Onward Technologies Limited,INE229A01017
OPTIEMUS,OPTIEMUS,Optiemus Infracom Limited,INE350C01017
ORBTEXP,ORBTEXP,Orbit Exports Limited,INE231G01010
ORCHASP,ORCHASP,Orchasp Limited,INE215B01022
ORCHPHARMA,ORCHPHARMA,Orchid Pharma Limited,INE191A01027
ORICONENT,ORICONENT,Oricon Enterprises Limited,INE730A01022
ORIENTALTL,ORIENTALTL,Oriental Trimex Limited,INE998H01012
ORIENTBELL,ORIENTBELL,Orient Bell Limited,INE607D01018
ORIENTCEM,ORIENTCEM,Orient Cement Limited,INE876N01018
ORIENTCER,ORIENTCER,ORIENT CERATECH LIMITED,INE569C01020
ORIENTELEC,ORIENTELEC,Orient Electric Limited,INE142Z01019
ORIENTHOT,ORIENTHOT,Oriental Hotels Limited,INE750A01020
ORIENTLTD,ORIENTLTD,Orient Press Limited,INE609C01024
ORIENTPPR,ORIENTPPR,Orient Paper & Industries Limited,INE592A01026
ORIENTTECH,ORIENTTECH,Orient Technologies Limited,INE0PPK01015
ORISSAMINE,ORISSAMINE,The Orissa Minerals Development Company Limited,INE725E01024
ORTEL,ORTEL,Ortel Communications Limited,INE849L01019
ORTINGLOBE,ORTINGLOBE,ORTIN GLOBAL LIMITED,INE749B01020
 ,OSIAHYPER,Osia Hyper Retail Limited,INE06IR01021
OSWALAGRO,OSWALAGRO,Oswal Agro Mills Limited,INE142A01012
OSWALGREEN,OSWALGREEN,Oswal Greentech Limited,INE143A01010
OSWALPUMPS,OSWALPUMPS,Oswal Pumps Limited,INE0BYP01024
 ,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,INE00IK01029
PAGEIND,PAGEIND,Page Industries Limited,INE761H01022
PAISALO,PAISALO,Paisalo Digital Limited,INE420C01059
PAKKA,PAKKA,PAKKA LIMITED,INE551D01018
PALASHSECU,PALASHSECU,Palash Securities Limited,INE471W01019
PALREDTEC,PALREDTEC,Palred Technologies Limited,INE218G01033
PANACEABIO,PANACEABIO,Panacea Biotec Limited,INE922B01023
 ,PANACHE,Panache Digilife Limited,INE895W01019
PANAMAPET,PANAMAPET,Panama Petrochem Limited,INE305C01029
 ,PANSARI,Pansari Developers Limited,INE697V01011
 ,PAR,Par Drugs And Chemicals Limited,INE04LG01015
PARACABLES,PARACABLES,Paramount Communications Limited,INE074B01023
PARADEEP,PARADEEP,Paradeep Phosphates Limited,INE088F01024
PARAGMILK,PARAGMILK,Parag Milk Foods Limited,INE883N01014
PARAS,PARAS,Paras Defence and Space Technologies Limited,INE045601023
PARASPETRO,PARASPETRO,Paras Petrofils Limited,INE162C01024
PARKHOTELS,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,INE988S01028
PARSVNATH,PARSVNATH,Parsvnath Developers Limited,INE561H01026
PASHUPATI,PASHUPATI,Pashupati Cotspin Limited,INE124Y01010
PASUPTAC,PASUPTAC,Pasupati Acrylon Limited,INE818B01023
PATANJALI,PATANJALI,Patanjali Foods Limited,INE619A01035
PATELENG,PATELENG,Patel Engineering Limited,INE244B01030
PATINTLOG,PATINTLOG,Patel Integrated Logistics Limited,INE529D01014
PAVNAIND,PAVNAIND,Pavna Industries Limited,INE07S101020
PAYTM,PAYTM,One 97 Communications Limited,INE982J01020
PCBL,PCBL,PCBL Chemical Limited,INE602A01031
PCJEWELLER,PCJEWELLER,PC Jeweller Limited,INE785M01021
PDMJEPAPER,PDMJEPAPER,Pudumjee Paper Products Limited,INE865T01018
PDSL,PDSL,PDS Limited,INE111Q01021
PEARLPOLY,PEARLPOLY,Pearl Polymers Limited,INE844A01013
PEL,PEL,Piramal Enterprises Limited,INE140A01024
PENIND,PENIND,Pennar Industries Limited,INE932A01024
PENINLAND,PENINLAND,Peninsula Land Limited,INE138A01028
PERSISTENT,PERSISTENT,Persistent Systems Limited,INE262H01021
PETRONET,PETRONET,Petronet LNG Limited,INE347G01014
PFC,PFC,Power Finance Corporation Limited,INE134E01011
PFIZER,PFIZER,Pfizer Limited,INE182A01018
PFOCUS,PFOCUS,Prime Focus Limited,INE367G01038
PFS,PFS,PTC India Financial Services Limited,INE560K01014
PGEL,PGEL,PG Electroplast Limited,INE457L01029
PGHH,PGHH,Procter & Gamble Hygiene and Health Care Limited,INE179A01014
PGHL,PGHL,Procter & Gamble Health Limited,INE199A01012
PGIL,PGIL,Pearl Global Industries Limited,INE940H01022
PHOENIXLTD,PHOENIXLTD,The Phoenix Mills Limited,INE211B01039
PICCADIL,PICCADIL,Piccadily Agro Industries Limited,INE546C01010
PIDILITIND,PIDILITIND,Pidilite Industries Limited,INE318A01026
PIGL,PIGL,Power & Instrumentation (Gujarat) Limited,INE557Z01018
PIIND,PIIND,PI Industries Limited,INE603J01030
PILANIINVS,PILANIINVS,Pilani Investment and Industries Corporation Limited,INE417C01014
PILITA,PILITA,PIL ITALICA LIFESTYLE LIMITED,INE600A01035
PIONEEREMB,PIONEEREMB,Pioneer Embroideries Limited,INE156C01018
PITTIENG,PITTIENG,Pitti Engineering Limited,INE450D01021
PIXTRANS,PIXTRANS,Pix Transmissions Limited,INE751B01018
 ,PKTEA,The Peria Karamalai Tea & Produce Company Limited,INE431F01018
PLASTIBLEN,PLASTIBLEN,Plastiblends India Limited,INE083C01022
PLATIND,PLATIND,Platinum Industries Limited,INE0PT501018
PLAZACABLE,PLAZACABLE,Plaza Wires Limited,INE0INJ01017
PNB,PNB,Punjab National Bank,INE160A01022
PNBGILTS,PNBGILTS,PNB Gilts Limited,INE859A01011
PNBHOUSING,PNBHOUSING,PNB Housing Finance Limited,INE572E01012
PNC,PNC,Pritish Nandy Communications Limited,INE392B01011
PNCINFRA,PNCINFRA,PNC Infratech Limited,INE195J01029
PNGJL,PNGJL,P N Gadgil Jewellers Limited,INE953R01016
POCL,POCL,Pondy Oxides & Chemicals Limited,INE063E01053
PODDARMENT,PODDARMENT,Poddar Pigments Limited,INE371C01013
POKARNA,POKARNA,Pokarna Limited,INE637C01025
POLICYBZR,POLICYBZR,PB Fintech Limited,INE417T01026
POLYCAB,POLYCAB,Polycab India Limited,INE455K01017
POLYMED,POLYMED,Poly Medicure Limited,INE205C01021
POLYPLEX,POLYPLEX,Polyplex Corporation Limited,INE633B01018
PONNIERODE,PONNIERODE,Ponni Sugars (Erode) Limited,INE838E01017
POONAWALLA,POONAWALLA,Poonawalla Fincorp Limited,INE511C01022
POWERGRID,POWERGRID,Power Grid Corporation of India Limited,INE752E01010
POWERINDIA,POWERINDIA,Hitachi Energy India Limited,INE07Y701011
POWERMECH,POWERMECH,Power Mech Projects Limited,INE211R01019
PPAP,PPAP,PPAP Automotive Limited,INE095I01015
PPL,PPL,Prakash Pipes Limited,INE050001010
PPLPHARMA,PPLPHARMA,Piramal Pharma Limited,INE0DK501011
PRABHA,PRABHA,Prabha Energy Limited,INE0I0M01023
PRAENG,PRAENG,Prajay Engineers Syndicate Limited,INE505C01016
PRAJIND,PRAJIND,Praj Industries Limited,INE074A01025
PRAKASH,PRAKASH,Prakash Industries Limited,INE603A01013
PRAKASHSTL,PRAKASHSTL,Prakash Steelage Limited,INE696K01024
PRAXIS,PRAXIS,Praxis Home Retail Limited,INE546Y01022
PRAXIS-RE2,PRAXIS-RE2,Praxis Home Retail Limited-RE,INE546Y20030
PRECAM,PRECAM,Precision Camshafts Limited,INE484I01029
 ,PRECOT,Precot Limited,INE283A01014
PRECWIRE,PRECWIRE,Precision Wires India Limited,INE372C01037
PREMEXPLN,PREMEXPLN,Premier Explosives Limited,INE863B01029
PREMIER,PREMIER,Premier Limited,INE342A01018
PREMIERENE,PREMIERENE,Premier Energies Limited,INE0BS701011
PREMIERPOL,PREMIERPOL,Premier Polyfilm Limited,INE309M01020
PRESTIGE,PRESTIGE,Prestige Estates Projects Limited,INE811K01011
PRICOLLTD,PRICOLLTD,Pricol Limited,INE726V01018
PRIMESECU,PRIMESECU,Prime Securities Limited,INE032B01021
PRIMO,PRIMO,Primo Chemicals Limited,INE607A01022
PRINCEPIPE,PRINCEPIPE,Prince Pipes And Fittings Limited,INE689W01016
 ,PRITI,Priti International Limited,INE974Z01015
PRITIKAUTO,PRITIKAUTO,Pritika Auto Industries Limited,INE583R01029
PRIVISCL,PRIVISCL,Privi Speciality Chemicals Limited,INE959A01019
PROSTARM,PROSTARM,Prostarm Info Systems Limited,INE0BX301013
PROTEAN,PROTEAN,Protean eGov Technologies Limited,INE004A01022
PROZONER,PROZONER,Prozone Realty Limited,INE195N01013
PRSMJOHNSN,PRSMJOHNSN,Prism Johnson Limited,INE010A01011
PRUDENT,PRUDENT,Prudent Corporate Advisory Services Limited,INE00F201020
PRUDMOULI,PRUDMOULI,Prudential Sugar Corporation Limited,INE024D01016
PSB,PSB,Punjab & Sind Bank,INE608A01012
PSPPROJECT,PSPPROJECT,PSP Projects Limited,INE488V01015
PTC,PTC,PTC India Limited,INE877F01012
PTCIL,PTCIL,PTC Industries Limited,INE596F01018
PTL,PTL,PTL Enterprises Limited,INE034D01049
PUNJABCHEM,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,INE277B01014
PURVA,PURVA,Puravankara Limited,INE323I01011
PVP,PVP,PVP Ventures Limited,INE362A01016
PVRINOX,PVRINOX,PVR INOX Limited,INE191H01014
PVSL,PVSL,Popular Vehicles and Services Limited,INE772T01024
PYRAMID,PYRAMID,Pyramid Technoplast Limited,INE0MIS01010
QPOWER,QPOWER,Quality Power Electrical Equipments Limited,INE0SII01026
QUADFUTURE,QUADFUTURE,Quadrant Future Tek Limited,INE0LRY01011
QUESS,QUESS,Quess Corp Limited,INE615P01015
QUICKHEAL,QUICKHEAL,Quick Heal Technologies Limited,INE306L01010
RACE,RACE,Race Eco Chain Limited,INE084Q01012
RACLGEAR,RACLGEAR,RACL Geartech Limited,INE704B01017
RADAAN,RADAAN,Radaan Mediaworks India Limited,INE874F01027
RADHIKAJWE,RADHIKAJWE,Radhika Jeweltech Limited,INE583V01021
RADIANTCMS,RADIANTCMS,Radiant Cash Management Services Limited,INE855R01021
RADICO,RADICO,Radico Khaitan Limited,INE944F01028
RADIOCITY,RADIOCITY,Music Broadcast Limited,INE919I01024
RAILTEL,RAILTEL,Railtel Corporation Of India Limited,INE0DD101019
RAIN,RAIN,Rain Industries Limited,INE855B01025
RAINBOW,RAINBOW,Rainbow Childrens Medicare Limited,INE961O01016
RAJESHEXPO,RAJESHEXPO,Rajesh Exports Limited,INE343B01030
 ,RAJMET,Rajnandini Metal Limited,INE00KV01022
RAJOOENG,RAJOOENG,Rajoo Engineers Limited,INE535F01024
RAJRATAN,RAJRATAN,Rajratan Global Wire Limited,INE451D01029
RAJRILTD,RAJRILTD,Raj Rayon Industries Limited,INE533D01032
RAJSREESUG,RAJSREESUG,Rajshree Sugars & Chemicals Limited,INE562B01019
RAJTV,RAJTV,Raj Television Network Limited,INE952H01027
RALLIS,RALLIS,Rallis India Limited,INE613A01020
RAMANEWS,RAMANEWS,Shree Rama Newsprint Limited,INE278B01020
RAMAPHO,RAMAPHO,Rama Phosphates Limited,INE809A01032
RAMASTEEL,RAMASTEEL,Rama Steel Tubes Limited,INE230R01035
RAMCOCEM,RAMCOCEM,The Ramco Cements Limited,INE331A01037
RAMCOIND,RAMCOIND,Ramco Industries Limited,INE614A01028
RAMCOSYS,RAMCOSYS,Ramco Systems Limited,INE246B01019
RAMKY,RAMKY,Ramky Infrastructure Limited,INE874I01013
RAMRAT,RAMRAT,Ram Ratna Wires Limited,INE207E01023
RANASUG,RANASUG,Rana Sugars Limited,INE625B01014
RANEHOLDIN,RANEHOLDIN,Rane Holdings Limited,INE384A01010
RATEGAIN,RATEGAIN,Rategain Travel Technologies Limited,INE0CLI01024
RATNAMANI,RATNAMANI,Ratnamani Metals & Tubes Limited,INE703B01027
RATNAVEER,RATNAVEER,Ratnaveer Precision Engineering Limited,INE05CZ01011
RAYMOND,RAYMOND,Raymond Limited,INE301A01014
RAYMONDLSL,RAYMONDLSL,Raymond Lifestyle Limited,INE02ID01020
RAYMONDREL,RAYMONDREL,Raymond Realty Limited,INE1SY401010
RBA,RBA,Restaurant Brands Asia Limited,INE07T201019
RBLBANK,RBLBANK,RBL Bank Limited,INE976G01028
RBZJEWEL,RBZJEWEL,RBZ Jewellers Limited,INE0PEQ01016
RCF,RCF,Rashtriya Chemicals and Fertilizers Limited,INE027A01015
RCOM,RCOM,Reliance Communications Limited,INE330H01018
RECLTD,RECLTD,REC Limited,INE020B01018
REDINGTON,REDINGTON,Redington Limited,INE891D01026
REDTAPE,REDTAPE,Redtape Limited,INE0LXT01019
REFEX,REFEX,Refex Industries Limited,INE056I01025
REGENCERAM,REGENCERAM,Regency Ceramics Limited,INE277C01012
RELAXO,RELAXO,Relaxo Footwears Limited,INE131B01039
RELCHEMQ,RELCHEMQ,Reliance Chemotex Industries Limited,INE750D01016
RELIABLE,RELIABLE,Reliable Data Services Limited,INE375Y01018
RELIANCE,RELIANCE,Reliance Industries Limited,INE002A01018
RELIGARE,RELIGARE,Religare Enterprises Limited,INE621H01010
RELINFRA,RELINFRA,Reliance Infrastructure Limited,INE036A01016
RELTD,RELTD,Ravindra Energy Limited,INE206N01018
REMSONSIND,REMSONSIND,Remsons Industries Limited,INE474C01023
RENUKA,RENUKA,Shree Renuka Sugars Limited,INE087H01022
REPCOHOME,REPCOHOME,Repco Home Finance Limited,INE612J01015
 ,REPL,Rudrabhishek Enterprises Limited,INE364Z01019
REPRO,REPRO,Repro India Limited,INE461B01014
